To,Location,,
CLOCK_50,PIN_AF14,50 MHz clock input,3.3V
CLOCK2_50,PIN_AA16,50 MHz clock input,3.3V
CLOCK3_50,PIN_Y26,50 MHz clock input,3.3V
CLOCK4_50,PIN_K14,50 MHz clock input,3.3V
HPS_CLOCK1_25,PIN_D25,25 MHz clock input,3.3V
HPS_CLOCK2_25,PIN_F25,25 MHz clock input,3.3V
SW[0],PIN_AB30,Slide Switch[0],Depend on JP3
SW[1],PIN_Y27,Slide Switch[1],Depend on JP3
SW[2],PIN_AB28,Slide Switch[2],Depend on JP3
SW[3],PIN_AC30,Slide Switch[3],Depend on JP3
SW[4],PIN_W25,Slide Switch[4],Depend on JP3
SW[5],PIN_V25,Slide Switch[5],Depend on JP3
SW[6],PIN_AC28,Slide Switch[6],Depend on JP3
SW[7],PIN_AD30,Slide Switch[7],Depend on JP3
SW[8],PIN_AC29,Slide Switch[8],Depend on JP3
SW[9],PIN_AA30,Slide Switch[9],Depend on JP3
KEY[0],PIN_AJ4,Push-button[0],3.3V
KEY[1],PIN_AK4,Push-button[1],3.3V
KEY[2],PIN_AA14,Push-button[2],3.3V
KEY[3],PIN_AA15,Push-button[3],3.3V
LEDR[0],PIN_AA24,LED [0],3.3V
LEDR[1],PIN_AB23,LED [1],3.3V
LEDR[2],PIN_AC23,LED [2],3.3V
LEDR[3],PIN_AD24,LED [3],3.3V
LEDR[4],PIN_AG25,LED [4],3.3V
LEDR[5],PIN_AF25,LED [5],3.3V
LEDR[6],PIN_AE24,LED [6],3.3V
LEDR[7],PIN_AF24,LED [7],3.3V
LEDR[8],PIN_AB22,LED [8],3.3V
LEDR[9],PIN_AC22,LED [9],3.3V
HEX0[0],PIN_W17,Seven Segment Digit 0[0],3.3V
HEX0[1],PIN_V18,Seven Segment Digit 0[1],3.3V
HEX0[2],PIN_AG17,Seven Segment Digit 0[2],3.3V
HEX0[3],PIN_AG16,Seven Segment Digit 0[3],3.3V
HEX0[4],PIN_AH17,Seven Segment Digit 0[4],3.3V
